geneName,Panel,Group
DNAH6,MAP_CP_Risk,Case
CADM1,MAP_CP_Risk,Case
STXBP1,MAP_CP_Risk,Case
TSG101,MAP_CP_Risk,Case
SLC11A2,MAP_CP_Risk,Case
AFF3,MAP_CP_Risk,Case
SVOP,MAP_CP_Risk,Case
FSCN1,MAP_CP_Risk,Case
MTOR,MAP_CP_Risk,Case
RHOBTB2,MAP_CP_Risk,Case
CNOT2,MAP_CP_Risk,Case
KIAA1549L,MAP_CP_Risk,Case
CDK2,MAP_CP_Risk,Case
MFN2,MAP_CP_Risk,Case
NT5C2,MAP_CP_Risk,Case
MYCBP2,MAP_CP_Risk,Case
SCN2A,MAP_CP_Risk,Case
ACSL3,MAP_CP_Risk,Case
MYH10,MAP_CP_Risk,Case
FLNC,MAP_CP_Risk,Case
BIRC6,MAP_CP_Risk,Case
PAX6,MAP_CP_Risk,Case
SMARCA4,MAP_CP_Risk,Case
FOXG1,MAP_CP_Risk,Case
SHANK3,MAP_CP_Risk,Case
HNRNPH3,MAP_CP_Risk,Case
PCLO,MAP_CP_Risk,Case
CHD7,MAP_CP_Risk,Case
GRM2,MAP_CP_Risk,Case
DCTN1,MAP_CP_Risk,Case
DCTN1,MAP_CP_Risk,Case
CHD8,MAP_CP_Risk,Case
RNF31,MAP_CP_Risk,Case
WDFY3,MAP_CP_Risk,Case
DST,MAP_CP_Risk,Case
GRM1,MAP_CP_Risk,Case
ADCY5,MAP_CP_Risk,Case
TRAPPC9,MAP_CP_Risk,Case
CELSR3,MAP_CP_Risk,Case
DNAH1,MAP_CP_Risk,Case
DNAH10,MAP_CP_Risk,Case
WTAP,MAP_CP_Risk,Case
MEIS2,MAP_CP_Risk,Case
SETD2,MAP_CP_Risk,Case
RHOBTB2,MAP_CP_Risk,Case
HMCN1,MAP_CP_Risk,Case
EMC1,MAP_CP_Risk,Case
KCNJ10,MAP_CP_Risk,Case
COL5A1,MAP_CP_Risk,Case
GET3,MAP_CP_Risk,Case
WWC1,MAP_CP_Risk,Case
CACNA2D2,MAP_CP_Risk,Case
TRIO,MAP_CP_Risk,Case
INO80,MAP_CP_Risk,Case
RFX7,MAP_CP_Risk,Case
CLIP1,MAP_CP_Risk,Case
TEK,MAP_CP_Risk,Case
C2CD3,MAP_CP_Risk,Case
NPR1,MAP_CP_Risk,Case
RASAL2,MAP_CP_Risk,Case
HMCN2,MAP_CP_Risk,Case
GRM1,MAP_CP_Risk,Case
ATM,MAP_CP_Risk,Case
SASH1,MAP_CP_Risk,Case
AKAP1,MAP_CP_Risk,Case
FLNB,MAP_CP_Risk,Case
DEPDC5,MAP_CP_Risk,Case
IPO9,MAP_CP_Risk,Case
GTF3C1,MAP_CP_Risk,Case
NOTCH2,MAP_CP_Risk,Case
ADGRV1,MAP_CP_Risk,Case
PABPN1,MAP_CP_Risk,Case
ANO4,MAP_CP_Risk,Case
JARID2,MAP_CP_Risk,Case
CUX1,MAP_CP_Risk,Case
ZNF462,MAP_CP_Risk,Case
SLC7A1,MAP_CP_Risk,Case
PRUNE2,MAP_CP_Risk,Case
HSPA9,MAP_CP_Risk,Case
WNK1,MAP_CP_Risk,Case
OTUD4,MAP_CP_Risk,Case
ASNS,MAP_CP_Risk,Case
CACNA1A,MAP_CP_Risk,Case
ARPC2,MAP_CP_Risk,Case
SAMD9,MAP_CP_Risk,Case
TRIO,MAP_CP_Risk,Case
RYR1,MAP_CP_Risk,Case
TCP1,MAP_CP_Risk,Case
COL4A2,MAP_CP_Risk,Case
ASNS,MAP_CP_Risk,Case
ATP8A2,MAP_CP_Risk,Case
PLXNA2,MAP_CP_Risk,Case
ARHGEF11,MAP_CP_Risk,Case
ATP8B1,MAP_CP_Risk,Case
ZSWIM5,MAP_CP_Risk,Case
AURKA,MAP_CP_Risk,Case
TP53BP1,MAP_CP_Risk,Case
PDGFRB,MAP_CP_Risk,Case
ATP8A2,MAP_CP_Risk,Case
CACNA2D2,MAP_CP_Risk,Case
SLC9A1,MAP_CP_Risk,Case
PCDHGC4,MAP_CP_Risk,Case
SPTLC2,MAP_CP_Risk,Case
BACE1,MAP_CP_Risk,Case
SYNRG,MAP_CP_Risk,Case
SMAP1,MAP_CP_Risk,Case
SPTBN2,MAP_CP_Risk,Case
FRMD4A,MAP_CP_Risk,Case
NSRP1,MAP_CP_Risk,Case
FBXL16,MAP_CP_Risk,Case
ARHGEF11,MAP_CP_Risk,Case
TTN,MAP_CP_Risk,Case
DNAH10,MAP_CP_Risk,Case
KIDINS220,MAP_CP_Risk,Case
