gene	gene_name_mut_table
MPRIP	MPRIP
MSI2	MSI2
MSL1	MSL1
MTMR4	MTMR4
MYH10	MYH10
MYO18A	MYO18A
C17orf85	NCBP3
NCOR1	NCOR1
NDEL1	NDEL1
NEURL4	NEURL4
NEUROD2	NEUROD2
NF1	NF1
NFE2L1	NFE2L1
NLGN2	NLGN2
NLK	NLK
NMT1	NMT1
NPEPPS	NPEPPS
NPLOC4	NPLOC4
NTN1	NTN1
NUFIP2	NUFIP2
NUP85	NUP85
NXN	NXN
OMG	OMG
P4HB	P4HB
PAFAH1B1	PAFAH1B1
PELP1	PELP1
PHF12	PHF12
PHF23	PHF23
PIP4K2B	PIP4K2B
PITPNA	PITPNA
PITPNC1	PITPNC1
PITPNM3	PITPNM3
PMP22	PMP22
POLR2A	POLR2A
PPM1E	PPM1E
PPP1R9B	PPP1R9B
PRKAR1A	PRKAR1A
PRPF8	PRPF8
PSMB3	PSMB3
PSMC5	PSMC5
PSMD11	PSMD11
PSMD12	PSMD12
PSMD3	PSMD3
PSME3	PSME3
RAB11FIP4	RAB11FIP4
RAB5C	RAB5C
RABEP1	RABEP1
RAI1	RAI1
RAP1GAP2	RAP1GAP2
RARA	RARA
RBFOX3	RBFOX3
RPL19	RPL19
RPL23A	RPL23A
RPL26	RPL26
RPS6KB1	RPS6KB1
RPTOR	RPTOR
RTN4RL1	RTN4RL1
SEPT9	SEPT9
SMARCE1	SMARCE1
SMG6	SMG6
SOCS7	SOCS7
SOX9	SOX9
SP2	SP2
SPAG9	SPAG9
SPOP	SPOP
SRCIN1	SRCIN1
SRSF1	SRSF1
SSH2	SSH2
STAT3	STAT3
STAT5A	STAT5A
STAT5B	STAT5B
SUPT6H	SUPT6H
SUZ12	SUZ12
SYNRG	SYNRG
TANC2	TANC2
TAOK1	TAOK1
TBX2	TBX2
TBX21	TBX21
TLK2	TLK2
TNRC6C	TNRC6C
TOB1	TOB1
TOP2A	TOP2A
TRAF4	TRAF4
UBE2O	UBE2O
UBE2Z	UBE2Z
UBTF	UBTF
UNK	UNK
USP32	USP32
VEZF1	VEZF1
VMP1	VMP1
XYLT2	XYLT2
YBX2	YBX2
YPEL2	YPEL2
YWHAE	YWHAE
ZBTB4	ZBTB4
ANKRD12	ANKRD12
ASXL3	ASXL3
ATP5A1	ATP5A1
B4GALT6	B4GALT6
C18orf8	C18orf8
CDH2	CDH2
CELF4	CELF4
COLEC12	COLEC12
CTIF	CTIF
DCC	DCC
DLGAP1	DLGAP1
DSG1	DSG1
ESCO1	ESCO1
GATA6	GATA6
GNAL	GNAL
GREB1L	GREB1L
KIAA1468	KIAA1468
MALT1	MALT1
MBD1	MBD1
NEDD4L	NEDD4L
NOL4	NOL4
ONECUT2	ONECUT2
PHLPP1	PHLPP1
PIAS2	PIAS2
PPP4R1	PPP4R1
PTPN2	PTPN2
PTPRM	PTPRM
RNF165	RNF165
ROCK1	ROCK1
RPL17	RPL17
SETBP1	SETBP1
SMAD2	SMAD2
SMAD4	SMAD4
SMCHD1	SMCHD1
SOCS6	SOCS6
TCF4	TCF4
THOC1	THOC1
TRAPPC8	TRAPPC8
TSHZ1	TSHZ1
USP14	USP14
WDR7	WDR7
ZCCHC2	ZCCHC2
ZNF236	ZNF236
ZNF24	ZNF24
ZNF407	ZNF407
ZNF516	ZNF516
ZNF521	ZNF521
ZNF532	ZNF532
ABHD8	ABHD8
ACTN4	ACTN4
LPHN1	ADGRL1
AES	AES
ANO8	ANO8
AP2A1	AP2A1
AP3D1	AP3D1
APC2	APC2
ARHGAP35	ARHGAP35
ARID3A	ARID3A
ASNA1	ASNA1
ATP13A1	ATP13A1
ATP1A3	ATP1A3
BABAM1	BABAM1
BCL3	BCL3
GLTSCR1	BICRA
BRD4	BRD4
BRSK1	BRSK1
C19orf68	C19orf68
C3	C3
CACNA1A	CACNA1A
CACNG8	CACNG8
CACTIN	CACTIN
CADM4	CADM4
CALM3	CALM3
CAMSAP3	CAMSAP3
CARM1	CARM1
CCNE1	CCNE1
CDC34	CDC34
CDC37	CDC37
CELF5	CELF5
CHAF1A	CHAF1A
CHERP	CHERP
CIC	CIC
CLPTM1	CLPTM1
CNOT3	CNOT3
CSNK1G2	CSNK1G2
DAZAP1	DAZAP1
DCAF15	DCAF15
DDA1	DDA1
DNM2	DNM2
DNMT1	DNMT1
DOT1L	DOT1L
DPF1	DPF1
DPP9	DPP9
DYRK1B	DYRK1B
EEF2	EEF2
EIF3G	EIF3G
ELAVL1	ELAVL1
ELL	ELL
EPS15L1	EPS15L1
ERF	ERF
EVI5L	EVI5L
FBL	FBL
FCHO1	FCHO1
FKBP8	FKBP8
FLT3LG	FLT3LG
FOSB	FOSB
FZR1	FZR1
GATAD2A	GATAD2A
GRIK5	GRIK5
GRIN2D	GRIN2D
GSK3A	GSK3A
HNRNPL	HNRNPL
HNRNPM	HNRNPM
HNRNPUL1	HNRNPUL1
HOMER3	HOMER3
HPN	HPN
ILF3	ILF3
IRF2BP1	IRF2BP1
KDM4B	KDM4B
KHSRP	KHSRP
KIAA0355	KIAA0355
KMT2B	KMT2B
LENG8	LENG8
LMNB2	LMNB2
LMTK3	LMTK3
LONP1	LONP1
LRFN1	LRFN1
LRFN3	LRFN3
LRRC25	LRRC25
MAP2K2	MAP2K2
MAP2K7	MAP2K7
MAP4K1	MAP4K1
MARK4	MARK4
MAST1	MAST1
MAST3	MAST3
MAU2	MAU2
MBD3	MBD3
MEX3D	MEX3D
MLLT1	MLLT1
MYO9B	MYO9B
NACC1	NACC1
NDUFS7	NDUFS7
PVRL2	NECTIN2
NFIX	NFIX
NOVA2	NOVA2
NPAS1	NPAS1
NUMBL	NUMBL
NUP62	NUP62
PDE4A	PDE4A
PIAS4	PIAS4
PIP5K1C	PIP5K1C
DKFZP761J1410	PLPPR2
POU2F2	POU2F2
PPFIA3	PPFIA3
PPP1R37	PPP1R37
PPP2R1A	PPP2R1A
PPP5C	PPP5C
PPP6R1	PPP6R1
PRKACA	PRKACA
PRKCG	PRKCG
PRKD2	PRKD2
PRMT1	PRMT1
PRPF31	PRPF31
PRR12	PRR12
PTBP1	PTBP1
PTPRS	PTPRS
RAB3A	RAB3A
RAB8A	RAB8A
RANBP3	RANBP3
RASIP1	RASIP1
RAVER1	RAVER1
RELB	RELB
REXO1	REXO1
RFX1	RFX1
RFX2	RFX2
RNF126	RNF126
RPL18	RPL18
RPL18A	RPL18A
RPS11	RPS11
RPS19	RPS19
RPS5	RPS5
RUVBL2	RUVBL2
SAE1	SAE1
SAFB	SAFB
SAFB2	SAFB2
SAMD4B	SAMD4B
SCAF1	SCAF1
SGTA	SGTA
SHANK1	SHANK1
SIN3B	SIN3B
SIPA1L3	SIPA1L3
SLC17A7	SLC17A7
SLC8A2	SLC8A2
SMARCA4	SMARCA4
SNRNP70	SNRNP70
SPIB	SPIB
SPTBN4	SPTBN4
STK11	STK11
STRN4	STRN4
SUGP1	SUGP1
SUGP2	SUGP2
SUPT5H	SUPT5H
SYMPK	SYMPK
TMEM259	TMEM259
TNPO2	TNPO2
TOMM40	TOMM40
TRIM28	TRIM28
TSHZ3	TSHZ3
TSKS	TSKS
TTYH1	TTYH1
U2AF2	U2AF2
UBA2	UBA2
UNC13A	UNC13A
UPF1	UPF1
USF2	USF2
VASP	VASP
VAV1	VAV1
WDR18	WDR18
WIZ	WIZ
XAB2	XAB2
ZBTB7A	ZBTB7A
ZC3H4	ZC3H4
ZNF146	ZNF146
ZNF296	ZNF296
ZNF331	ZNF331
ZNF536	ZNF536
ZNF541	ZNF541
ZNF628	ZNF628
ZNF865	ZNF865
ADNP	ADNP
ADRM1	ADRM1
ARFGEF2	ARFGEF2
ATP9A	ATP9A
ATRN	ATRN
B4GALT5	B4GALT5
BCL2L1	BCL2L1
BMP2	BMP2
CBFA2T2	CBFA2T2
CENPB	CENPB
CHD6	CHD6
CHMP4B	CHMP4B
CSE1L	CSE1L
CSNK2A1	CSNK2A1
CSTF1	CSTF1
DIDO1	DIDO1
DLGAP4	DLGAP4
E2F1	E2F1
EEF1A2	EEF1A2
EIF2S2	EIF2S2
GGT7	GGT7
GID8	GID8
GMEB2	GMEB2
ITCH	ITCH
JAG1	JAG1
KCNB1	KCNB1
KCNQ2	KCNQ2
LSM14B	LSM14B
LZTS3	LZTS3
MAFB	MAFB
MAPRE1	MAPRE1
MRGBP	MRGBP
MYT1	MYT1
NCOA5	NCOA5
NCOA6	NCOA6
NFATC2	NFATC2
C20orf112	NOL4L
PAK7	PAK5
PARD6B	PARD6B
PCIF1	PCIF1
PCNA	PCNA
PCSK2	PCSK2
PHACTR3	PHACTR3
PHF20	PHF20
PLAGL2	PLAGL2
PLCB1	PLCB1
PMEPA1	PMEPA1
POFUT1	POFUT1
PPP1R16B	PPP1R16B
PREX1	PREX1
PSMA7	PSMA7
PTPRA	PTPRA
PTPRT	PTPRT
RAE1	RAE1
RALGAPB	RALGAPB
RBM39	RBM39
RGS19	RGS19
SALL4	SALL4
SCRT2	SCRT2
SLC12A5	SLC12A5
SLC32A1	SLC32A1
SNAP25	SNAP25
SNPH	SNPH
SOGA1	SOGA1
SPATA2	SPATA2
SRC	SRC
SRSF6	SRSF6
SS18L1	SS18L1
STAU1	STAU1
SYCP2	SYCP2
TAF4	TAF4
TBC1D20	TBC1D20
TCFL5	TCFL5
TFAP2C	TFAP2C
TM9SF4	TM9SF4
TOP1	TOP1
TPX2	TPX2
TSHZ2	TSHZ2
XKR7	XKR7
YTHDF1	YTHDF1
YWHAB	YWHAB
ZMYND8	ZMYND8
ZNF217	ZNF217
ZNF512B	ZNF512B
ZNFX1	ZNFX1
AAK1	AAK1
ACTR2	ACTR2
ACTR3	ACTR3
ACVR2A	ACVR2A
ADAM17	ADAM17
ADAM23	ADAM23
ADD2	ADD2
AFF3	AFF3
AFTPH	AFTPH
AGAP1	AGAP1
AGFG1	AGFG1
AGPS	AGPS
AMMECR1L	AMMECR1L
ANAPC1	ANAPC1
ANTXR1	ANTXR1
ARHGAP25	ARHGAP25
ARID5A	ARID5A
ARPC2	ARPC2
ASAP2	ASAP2
ASXL2	ASXL2
ATAD2B	ATAD2B
ATF2	ATF2
ATG16L1	ATG16L1
ATG4B	ATG4B
ATG9A	ATG9A
ATOH8	ATOH8
BAZ2B	BAZ2B
BCL11A	BCL11A
BIRC6	BIRC6
BMP10	BMP10
BMPR2	BMPR2
BZW1	BZW1
CAD	CAD
CALCRL	CALCRL
CALM2	CALM2
CCDC88A	CCDC88A
CCNT2	CCNT2
CCT4	CCT4
CCT7	CCT7
CFLAR	CFLAR
CLASP1	CLASP1
RQCD1	CNOT9
CNTNAP5	CNTNAP5
COL3A1	COL3A1
COL5A2	COL5A2
CREB1	CREB1
CRIM1	CRIM1
CTDSP1	CTDSP1
CTLA4	CTLA4
CUL3	CUL3
CYP26B1	CYP26B1
DDX1	DDX1
AGPAT3	AGPAT3
BRWD1	BRWD1
BTG3	BTG3
CCT8	CCT8
COL6A1	COL6A1
DSCAM	DSCAM
DYRK1A	DYRK1A
ERG	ERG
ETS2	ETS2
GABPA	GABPA
HUNK	HUNK
IFNGR2	IFNGR2
ITSN1	ITSN1
MORC3	MORC3
NRIP1	NRIP1
PAXBP1	PAXBP1
PKNOX1	PKNOX1
SCAF4	SCAF4
SIK1	SIK1
SLC5A3	SLC5A3
SON	SON
TIAM1	TIAM1
TRAPPC10	TRAPPC10
U2AF1	U2AF1
ZBTB21	ZBTB21
DIS3L2	DIS3L2
DLX1	DLX1
DLX2	DLX2
DPP10	DPP10
DPYSL5	DPYSL5
EFEMP1	EFEMP1
EIF2B4	EIF2B4
EIF5B	EIF5B
EN1	EN1
EPC2	EPC2
EPHA4	EPHA4
ERBB4	ERBB4
FBXO11	FBXO11
FBXO41	FBXO41
FIGN	FIGN
FMNL2	FMNL2
FOSL2	FOSL2
FZD5	FZD5
GALNT13	GALNT13
GIGYF2	GIGYF2
GLI2	GLI2
GLS	GLS
GTF3C2	GTF3C2
HDAC4	HDAC4
HDLBP	HDLBP
HECW2	HECW2
HNRNPA3	HNRNPA3
HNRNPLL	HNRNPLL
HS6ST1	HS6ST1
HSPD1	HSPD1
HSPE1-MOB4	HSPE1-MOB4
IGFBP5	IGFBP5
IKZF2	IKZF2
ILKAP	ILKAP
INHBB	INHBB
INO80D	INO80D
INPP4A	INPP4A
INPP5D	INPP5D
IWS1	IWS1
KANSL3	KANSL3
KCMF1	KCMF1
KCNJ3	KCNJ3
KCNK12	KCNK12
KCNK3	KCNK3
KDM3A	KDM3A
KIAA1211L	KIAA1211L
KIF1A	KIF1A
KIF3C	KIF3C
KIF5C	KIF5C
KLF7	KLF7
KLHL29	KLHL29
AP1B1	AP1B1
BCR	BCR
BRD1	BRD1
CACNA1I	CACNA1I
CACNG2	CACNG2
CBX6	CBX6
CECR2	CECR2
CELSR1	CELSR1
CSNK1E	CSNK1E
DDX17	DDX17
DGCR8	DGCR8
EIF3D	EIF3D
EIF4ENIF1	EIF4ENIF1
ELFN2	ELFN2
EP300	EP300
EWSR1	EWSR1
FBLN1	FBLN1
GGA1	GGA1
GNAZ	GNAZ
GRAMD4	GRAMD4
GTPBP1	GTPBP1
HIC2	HIC2
HIRA	HIRA
KCNJ4	KCNJ4
LARGE1	LARGE1
MAPK1	MAPK1
MAPK8IP2	MAPK8IP2
MED15	MED15
MICAL3	MICAL3
MKL1	MKL1
MN1	MN1
MORC2	MORC2
MTMR3	MTMR3
MYH9	MYH9
NF2	NF2
PATZ1	PATZ1
PEX26	PEX26
PHF21B	PHF21B
PIM3	PIM3
PITPNB	PITPNB
PLXNB2	PLXNB2
PRR14L	PRR14L
RAC2	RAC2
RBFOX2	RBFOX2
RBX1	RBX1
RPL3	RPL3
RTN4R	RTN4R
SBF1	SBF1
SCARF2	SCARF2
SCUBE1	SCUBE1
SEPT5	SEPT5
SF3A1	SF3A1
SHANK3	SHANK3
SMARCB1	SMARCB1
SOX10	SOX10
SULT4A1	SULT4A1
TCF20	TCF20
TNRC6B	TNRC6B
TTC28	TTC28
UFD1	UFD1
XRCC6	XRCC6
ZC3H7B	ZC3H7B
ZNRF3	ZNRF3
LRP2	LRP2
MAP2	MAP2
MAP3K2	MAP3K2
MAP4K4	MAP4K4
MAT2A	MAT2A
MBD5	MBD5
MCM6	MCM6
MDH1	MDH1
MEIS1	MEIS1
MEMO1	MEMO1
MGAT5	MGAT5
MOB1A	MOB1A
MOB4	MOB4
MYT1L	MYT1L
NCKAP1	NCKAP1
NCL	NCL
NCOA1	NCOA1
NPAS2	NPAS2
NR4A2	NR4A2
NRBP1	NRBP1
NRXN1	NRXN1
NXPH2	NXPH2
OSBPL6	OSBPL6
PAPOLG	PAPOLG
PAX8	PAX8
PCBP1	PCBP1
PCGF1	PCGF1
POLR1A	POLR1A
POLR1B	POLR1B
PPIG	PPIG
PPIL3	PPIL3
PPM1G	PPM1G
PPP1CB	PPP1CB
PPP1R7	PPP1R7
PRKCE	PRKCE
PSMD1	PSMD1
PSMD14	PSMD14
PSME4	PSME4
PTPN4	PTPN4
PUM2	PUM2
RAB10	RAB10
RANBP2	RANBP2
RAPGEF4	RAPGEF4
RAPH1	RAPH1
REEP1	REEP1
REL	REL
REV1	REV1
RIF1	RIF1
RND3	RND3
RNF144A	RNF144A
ROCK2	ROCK2
RPS27A	RPS27A
RPS7	RPS7
SAP130	SAP130
SATB2	SATB2
SCN1A	SCN1A
SCN2A	SCN2A
SCN3A	SCN3A
SEMA4C	SEMA4C
SESTD1	SESTD1
SF3B1	SF3B1
SIX2	SIX2
SIX3	SIX3
SLC39A10	SLC39A10
FPN1	SLC40A1
SLC8A1	SLC8A1
SNRNP200	SNRNP200
SOS1	SOS1
SP3	SP3
SP9	SP9
SPAST	SPAST
SPEG	SPEG
SPHKAP	SPHKAP
SPTBN1	SPTBN1
SRSF7	SRSF7
STAT1	STAT1
STK39	STK39
TBR1	TBR1
TET3	TET3
TFCP2L1	TFCP2L1
TLK1	TLK1
TMEM131	TMEM131
TMEM185B	TMEM185B
TRIB2	TRIB2
TRIP12	TRIP12
UBE2F	UBE2F
UBR3	UBR3
USP34	USP34
USP37	USP37
VPS54	VPS54
WDR33	WDR33
WDR43	WDR43
WIPF1	WIPF1
XPO1	XPO1
XRCC5	XRCC5
ZC3H15	ZC3H15
ZEB2	ZEB2
ZFP36L2	ZFP36L2
ZNF512	ZNF512
ZNF638	ZNF638
ACAP2	ACAP2
ACTL6A	ACTL6A
ADCY5	ADCY5
ANKRD28	ANKRD28
AP2M1	AP2M1
ARF4	ARF4
ARHGAP31	ARHGAP31
ARIH2	ARIH2
ARMC8	ARMC8
ARPC4	ARPC4
ATP13A3	ATP13A3
ATP2B2	ATP2B2
ATP2C1	ATP2C1
ATXN7	ATXN7
BAP1	BAP1
BCL6	BCL6
BHLHE40	BHLHE40
BRPF1	BRPF1
BSN	BSN
CACNA1D	CACNA1D
CACNA2D2	CACNA2D2
CAMKV	CAMKV
CBLB	CBLB
CCNL1	CCNL1
CD47	CD47
CD86	CD86
CELSR3	CELSR3
CLASP2	CLASP2
CLDN11	CLDN11
CNBP	CNBP
CNOT10	CNOT10
COPB2	COPB2
CTNNB1	CTNNB1
DAG1	DAG1
DAZL	DAZL
VPRBP	DCAF1
DCUN1D1	DCUN1D1
DHX30	DHX30
DLG1	DLG1
DNAJC13	DNAJC13
DOCK3	DOCK3
DYNC1LI1	DYNC1LI1
EIF4A2	EIF4A2
EIF4G1	EIF4G1
EOMES	EOMES
EPHB1	EPHB1
ERC2	ERC2
ETV5	ETV5
FAM208A	FAM208A
FBXO45	FBXO45
FEZF2	FEZF2
FGD5	FGD5
FNDC3B	FNDC3B
FOXP1	FOXP1
FXR1	FXR1
GATA2	GATA2
GMPS	GMPS
GRM7	GRM7
GSK3B	GSK3B
IP6K1	IP6K1
IP6K2	IP6K2
IQSEC1	IQSEC1
ISY1	ISY1
ISY1-RAB43	ISY1-RAB43
ITPR1	ITPR1
KALRN	KALRN
KAT2B	KAT2B
KPNA1	KPNA1
KPNA4	KPNA4
LRRN1	LRRN1
LSAMP	LSAMP
MECOM	MECOM
MED12L	MED12L
MITF	MITF
MRAS	MRAS
NECTIN3	NECTIN3
NFKBIZ	NFKBIZ
NISCH	NISCH
NKTR	NKTR
NR2C2	NR2C2
OPA1	OPA1
PAK2	PAK2
PBRM1	PBRM1
PDCD10	PDCD10
PDZRN3	PDZRN3
PHC3	PHC3
PIK3CA	PIK3CA
PIK3CB	PIK3CB
PLCL2	PLCL2
PLXNA1	PLXNA1
PLXND1	PLXND1
PODXL2	PODXL2
PPP4R2	PPP4R2
PRICKLE2	PRICKLE2
PRKCD	PRKCD
PSMD2	PSMD2
PSMD6	PSMD6
QRICH1	QRICH1
RAB6B	RAB6B
RAB7A	RAB7A
RAD54L2	RAD54L2
RARB	RARB
RBM15B	RBM15B
RBM5	RBM5
RBM6	RBM6
ROBO2	ROBO2
RPL15	RPL15
RPSA	RPSA
RUVBL1	RUVBL1
RYK	RYK
SATB1	SATB1
SCHIP1	SCHIP1
SCN5A	SCN5A
SEC61A1	SEC61A1
SEC62	SEC62
SEMA3F	SEMA3F
SENP2	SENP2
SENP5	SENP5
SETD2	SETD2
SETD5	SETD5
SFMBT1	SFMBT1
SKIL	SKIL
SLC6A1	SLC6A1
SLC6A6	SLC6A6
SLITRK3	SLITRK3
SLMAP	SLMAP
SMARCC1	SMARCC1
SNRK	SNRK
SRGAP3	SRGAP3
STAG1	STAG1
STT3B	STT3B
STXBP5L	STXBP5L
TBL1XR1	TBL1XR1
TFDP2	TFDP2
THRB	THRB
TIPARP	TIPARP
TMEM108	TMEM108
TMEM39A	TMEM39A
TNIK	TNIK
TOMM70A	TOMM70
TOP2B	TOP2B
TOPAZ1	TOPAZ1
TOPBP1	TOPBP1
TP63	TP63
TRA2B	TRA2B
TRIM71	TRIM71
TSC22D2	TSC22D2
TWF2	TWF2
U2SURP	U2SURP
UBE2E2	UBE2E2
UBP1	UBP1
UBXN7	UBXN7
KIAA2018	USF3
USP19	USP19
WDR48	WDR48
WNT5A	WNT5A
WWTR1	WWTR1
XRN1	XRN1
YEATS2	YEATS2
ZBTB20	ZBTB20
ZBTB38	ZBTB38
ZBTB47	ZBTB47
ZIC1	ZIC1
ZNF148	ZNF148
ZNF445	ZNF445
ZNF654	ZNF654
ABCE1	ABCE1
ADD1	ADD1
LPHN3	ADGRL3
ANK2	ANK2
ANKRD17	ANKRD17
ANKRD50	ANKRD50
BEND4	BEND4
BMPR1B	BMPR1B
BOD1L1	BOD1L1
CCNA2	CCNA2
CDKN2AIP	CDKN2AIP
CLCN3	CLCN3
CLOCK	CLOCK
CNOT6L	CNOT6L
COPS4	COPS4
CPE	CPE
CRMP1	CRMP1
CTBP1	CTBP1
DCLK2	DCLK2
DHX15	DHX15
DNAJB14	DNAJB14
EDNRA	EDNRA
EIF4E	EIF4E
ELF2	ELF2
ELOVL6	ELOVL6
FAM193A	FAM193A
FAT4	FAT4
FBXL5	FBXL5
FBXW7	FBXW7
FNIP2	FNIP2
FRYL	FRYL
G3BP2	G3BP2
GABRA2	GABRA2
GABRB1	GABRB1
GPM6A	GPM6A
GRIA2	GRIA2
GRID2	GRID2
HHIP	HHIP
HMGB2	HMGB2
HNRNPD	HNRNPD
HTT	HTT
PHF17	JADE1
JAKMIP1	JAKMIP1
KDR	KDR
KIAA0232	KIAA0232
KIT	KIT
KLHL2	KLHL2
LCORL	LCORL
LDB2	LDB2
LEF1	LEF1
LIMCH1	LIMCH1
LIN54	LIN54
MAML3	MAML3
NAA15	NAA15
NAF1	NAF1
NFKB1	NFKB1
NSD2	NSD2
NWD2	NWD2
OTUD4	OTUD4
PCGF3	PCGF3
PDGFC	PDGFC
PDGFRA	PDGFRA
PDS5A	PDS5A
PHOX2B	PHOX2B
PITX2	PITX2
PLRG1	PLRG1
PPARGC1A	PPARGC1A
PPAT	PPAT
PPP3CA	PPP3CA
RAP1GDS1	RAP1GDS1
RAPGEF2	RAPGEF2
RASGEF1B	RASGEF1B
RBM47	RBM47
RBPSUH	RBPJ
RELL1	RELL1
REST	REST
RFC1	RFC1
RPL9	RPL9
RPS3A	RPS3A
SEC24B	SEC24B
SEPT11	SEPT11
SLC4A4	SLC4A4
SLIT2	SLIT2
SMAD1	SMAD1
SMARCA5	SMARCA5
SMARCAD1	SMARCAD1
STIM2	STIM2
TENM3	TENM3
KIAA0922	TMEM131L
TRIM2	TRIM2
TSPAN5	TSPAN5
UBE2K	UBE2K
UCHL1	UCHL1
WDFY3	WDFY3
WDR1	WDR1
YTHDC1	YTHDC1
ZNF827	ZNF827
ADAMTS2	ADAMTS2
ADAMTS6	ADAMTS6
ADCY2	ADCY2
AFF4	AFF4
ANKHD1	ANKHD1
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3
APC	APC
ARHGAP26	ARHGAP26
ARRDC3	ARRDC3
CAMK2A	CAMK2A
CCT5	CCT5
CDC23	CDC23
CDH6	CDH6
CHD1	CHD1
CPEB4	CPEB4
CREBRF	CREBRF
CSNK1A1	CSNK1A1
CSNK1G3	CSNK1G3
CTNNA1	CTNNA1
CTNND2	CTNND2
CYFIP2	CYFIP2
DBN1	DBN1
DDX4	DDX4
DDX46	DDX46
DIAPH1	DIAPH1
DMXL1	DMXL1
DOCK2	DOCK2
DPYSL3	DPYSL3
DRD1	DRD1
EBF1	EBF1
EFNA5	EFNA5
ELL2	ELL2
ERBB2IP	ERBIN
ETF1	ETF1
EXOC3	EXOC3
FAF2	FAF2
FAM169A	FAM169A
FAM193B	FAM193B
FAM196B	FAM196B
FBN2	FBN2
FBXL17	FBXL17
FBXO38	FBXO38
FBXW11	FBXW11
FCHO2	FCHO2
FGF10	FGF10
FLT4	FLT4
FNIP1	FNIP1
FST	FST
GABRA1	GABRA1
GPRIN1	GPRIN1
GRIA1	GRIA1
HCN1	HCN1
HMGCR	HMGCR
HMGCS1	HMGCS1
HMGXB3	HMGXB3
HNRNPA0	HNRNPA0
HNRNPH1	HNRNPH1
HOMER1	HOMER1
HSPA4	HSPA4
HSPA9	HSPA9
KIAA0947	ICE1
IL6ST	IL6ST
IRF1	IRF1
PHF15	JADE2
JAKMIP2	JAKMIP2
JMY	JMY
KCNN2	KCNN2
KCTD16	KCTD16
KDM3B	KDM3B
KIF2A	KIF2A
KLHL3	KLHL3
LARP1	LARP1
LCP2	LCP2
LNPEP	LNPEP
LOX	LOX
MAML1	MAML1
MAP1B	MAP1B
MAP3K1	MAP3K1
MARCH6	MARCH6
MATR3	MATR3
MGAT1	MGAT1
MIER3	MIER3
MTMR12	MTMR12
NDFIP1	NDFIP1
NDST1	NDST1
NIPBL	NIPBL
NKX2-5	NKX2-5
NNT	NNT
NPM1	NPM1
NR2F1	NR2F1
NR3C1	NR3C1
NRG2	NRG2
NSD1	NSD1
PAIP1	PAIP1
PAPD7	PAPD7
PCDH1	PCDH1
PCDHAC2	PCDHAC2
PCDHGC4	PCDHGC4
PDE4D	PDE4D
PDE8B	PDE8B
PDGFRB	PDGFRB
PDLIM4	PDLIM4
PDZD2	PDZD2
PIK3R1	PIK3R1
PLK2	PLK2
POU4F3	POU4F3
PPP2CA	PPP2CA
PPP2R2B	PPP2R2B
PRLR	PRLR
PTGER4	PTGER4
PURA	PURA
PWWP2A	PWWP2A
GNB2L1	RACK1
RAI14	RAI14
RAPGEF6	RAPGEF6
RASA1	RASA1
RBM22	RBM22
RBM27	RBM27
RGS7BP	RGS7BP
RICTOR	RICTOR
RNF145	RNF145
RPS14	RPS14
SCAMP1	SCAMP1
SEMA6A	SEMA6A
SKP2	SKP2
SLC12A2	SLC12A2
SLC1A3	SLC1A3
SLC6A3	SLC6A3
SLC9A3	SLC9A3
SMAD5	SMAD5
SNX18	SNX18
SNX2	SNX2
SOX30	SOX30
SREK1	SREK1
SSBP2	SSBP2
SYNPO	SYNPO
TCERG1	TCERG1
TCOF1	TCOF1
TENM2	TENM2
TERT	TERT
TNPO1	TNPO1
TRIM41	TRIM41
TRIO	TRIO
TRIP13	TRIP13
UBE2D2	UBE2D2
UNC5A	UNC5A
UTP15	UTP15
VCAN	VCAN
VDAC1	VDAC1
YIPF5	YIPF5
YTHDC2	YTHDC2
ZFR	ZFR
ZMAT2	ZMAT2
ZNF131	ZNF131
ZNF608	ZNF608
ZSWIM6	ZSWIM6
BAI3	ADGRB3
MLLT4	AFDN
AGPAT1	AGPAT1
AKIRIN2	AKIRIN2
AMD1	AMD1
KIAA1244	ARFGEF3
ARID1B	ARID1B
ATG5	ATG5
ATXN1	ATXN1
BACH2	BACH2
BAG6	BAG6
BEND3	BEND3
GLTSCR1L	BICRAL
BRD2	BRD2
BRPF3	BRPF3
C6orf136	C6orf136
C6orf62	C6orf62
CCNC	CCNC
CCND3	CCND3
CDC40	CDC40
CDC5L	CDC5L
CDK19	CDK19
CDYL	CDYL
CMTR1	CMTR1
COL12A1	COL12A1
CSNK2B	CSNK2B
CUL9	CUL9
DAAM2	DAAM2
DDX39B	DDX39B
DEF6	DEF6
DLL1	DLL1
DOPEY1	DOPEY1
DSP	DSP
DST	DST
E2F3	E2F3
EEF1A1	EEF1A1
ELOVL5	ELOVL5
EPB41L2	EPB41L2
EPHA7	EPHA7
ESR1	ESR1
FAM135A	FAM135A
FAM46A	FAM46A
FAXC	FAXC
FBXO5	FBXO5
FOXC1	FOXC1
FOXO3	FOXO3
FOXP4	FOXP4
FYN	FYN
GABBR1	GABBR1
GCM1	GCM1
GMDS	GMDS
GNL1	GNL1
GRIK2	GRIK2
GRM4	GRM4
HDAC2	HDAC2
HIVEP1	HIVEP1
HIVEP2	HIVEP2
HSF2	HSF2
HSP90AB1	HSP90AB1
IGF2R	IGF2R
JARID2	JARID2
KCNQ5	KCNQ5
