gene	gene_name_mut_table
PKNOX2	PKNOX2
PLCB3	PLCB3
POLD3	POLD3
PPFIA1	PPFIA1
PPME1	PPME1
PPP1CA	PPP1CA
PPP2R5B	PPP2R5B
PPP6R3	PPP6R3
PRDM11	PRDM11
PRPF19	PRPF19
PSMA1	PSMA1
PSMC3	PSMC3
PSMD13	PSMD13
QSER1	QSER1
RAB30	RAB30
RAB6A	RAB6A
RBM14	RBM14
RBM14-RBM4	RBM14-RBM4
RBM4	RBM4
RELA	RELA
RNF214	RNF214
RPL27A	RPL27A
RPS3	RPS3
RPS6KA4	RPS6KA4
RRAS2	RRAS2
RRM1	RRM1
RSF1	RSF1
SERPING1	SERPING1
SF1	SF1
SF3B2	SF3B2
SIK2	SIK2
SIK3	SIK3
SOX6	SOX6
SPCS2	SPCS2
SPI1	SPI1
SPTY2D1	SPTY2D1
SSRP1	SSRP1
ST5	ST5
STIP1	STIP1
SYT7	SYT7
SYVN1	SYVN1
TBCEL	TBCEL
TEAD1	TEAD1
TENM4	TENM4
THAP12	THAP12
TRAF6	TRAF6
TRIM3	TRIM3
TTC17	TTC17
USP47	USP47
UVRAG	UVRAG
VPS26B	VPS26B
WEE1	WEE1
WT1	WT1
YAP1	YAP1
ZBTB16	ZBTB16
ZBTB44	ZBTB44
ZC3H12C	ZC3H12C
ZDHHC5	ZDHHC5
ZFP91	ZFP91
CEP170	CEP170
CEP350	CEP350
CEPT1	CEPT1
CHD5	CHD5
CHRM3	CHRM3
CLK2	CLK2
CLSTN1	CLSTN1
COL11A1	COL11A1
COPA	COPA
CRTC2	CRTC2
CSDE1	CSDE1
CSF1	CSF1
CTPS1	CTPS1
DAB1	DAB1
DCAF8	DCAF8
DDI2	DDI2
DEDD	DEDD
DENND4B	DENND4B
DHX9	DHX9
DLGAP3	DLGAP3
DMBX1	DMBX1
DMRTA2	DMRTA2
DNAJC11	DNAJC11
DNAJC6	DNAJC6
DR1	DR1
ECE1	ECE1
EGLN1	EGLN1
EIF3I	EIF3I
EIF4G3	EIF4G3
ELAVL4	ELAVL4
ELF3	ELF3
ELOA	ELOA
ENAH	ENAH
EPHB2	EPHB2
ETV3	ETV3
EXOC8	EXOC8
EYA3	EYA3
FAF1	FAF1
FAM46C	FAM46C
FBXO28	FBXO28
FBXO42	FBXO42
ACVR1B	ACVR1B
AEBP2	AEBP2
AGAP2	AGAP2
ANKRD52	ANKRD52
ANKS1B	ANKS1B
ARID2	ARID2
ASIC1	ASIC1
ATF7	ATF7
ATF7IP	ATF7IP
ATN1	ATN1
ATP2A2	ATP2A2
ATP2B1	ATP2B1
ATP5B	ATP5B
BAZ2A	BAZ2A
BHLHE41	BHLHE41
BICDL1	BICDL1
BTBD11	BTBD11
CACNA1C	CACNA1C
CAND1	CAND1
CBX5	CBX5
CCND2	CCND2
CCT2	CCT2
CDK17	CDK17
CHD4	CHD4
CIT	CIT
CLSTN3	CLSTN3
CNOT2	CNOT2
COL2A1	COL2A1
COPZ1	COPZ1
CORO1C	CORO1C
CPSF6	CPSF6
CS	CS
CSRNP2	CSRNP2
CUX2	CUX2
DCTN2	DCTN2
DENND5B	DENND5B
DHX37	DHX37
DIP2B	DIP2B
DNAJC14	DNAJC14
DUSP6	DUSP6
DYRK2	DYRK2
E2F7	E2F7
EEA1	EEA1
EIF4B	EIF4B
EP400	EP400
EPS8	EPS8
ESPL1	ESPL1
ETNK1	ETNK1
ETV6	ETV6
FAM60A	FAM60A
FBXO21	FBXO21
FOXJ2	FOXJ2
FRS2	FRS2
GCN1L1	GCN1
GDF11	GDF11
GIT2	GIT2
GRASP	GRASP
GRIN2B	GRIN2B
HCFC2	HCFC2
HDAC7	HDAC7
HECTD4	HECTD4
HNF1A	HNF1A
HNRNPA1	HNRNPA1
HSP90B1	HSP90B1
KCNH3	KCNH3
KCNMB4	KCNMB4
KDM2B	KDM2B
KDM5A	KDM5A
KIF5A	KIF5A
KMT2D	KMT2D
SETD8	KMT5A
KSR2	KSR2
LEMD3	LEMD3
LHX5	LHX5
LPCAT3	LPCAT3
LRP1	LRP1
MAP3K12	MAP3K12
MBD6	MBD6
MDM2	MDM2
MED13L	MED13L
MLXIP	MLXIP
MSI1	MSI1
NAA25	NAA25
NABP2	NABP2
NAP1L1	NAP1L1
NAV3	NAV3
NCOR2	NCOR2
NELL2	NELL2
TMEM194A	NEMP1
NOP2	NOP2
NOS1	NOS1
NTF3	NTF3
NTN4	NTN4
PA2G4	PA2G4
PAN2	PAN2
PCBP2	PCBP2
PHC1	PHC1
PITPNM2	PITPNM2
PLEKHA5	PLEKHA5
